qstr_Next_Page|下 一 页 
qstr_Guildmaster_of_{s4}_p|{s4}的 镇 长 答 应 给 你 {reg12}第 纳 尔， 如 果 你 能 使 得 {s12}和 {s13}不 再 对 {s15}和 {s14}的 和 平 形 式 表 现 出 一 种 凶 兆。 要 做 到 这 个， 你 得 说 服 他 们 中 的 一 个 或 者 他 们 都 被 俘 虏 并 且 还 活 着， 直 到 达 成 和 平 协 议。 
qstr_The_Guildmaster_of_{s|{s14}的 镇 长 要 你 解 决 一 群 游 荡 在 {s14}街 道 上 的 强 盗。 他 们 只 在 晚 上 出 来， 并 且 袭 击 街 上 单 身 的 旅 行 者。 
qstr_Guildmaster_of_{s10}|{s10}的 镇 长 要 你 把 一 群 牛 赶 到 {s13}去。 你 将 会 挣 得 {reg8}第 纳 尔 的 报 酬。 
qstr_He_is_not_commanding|他 现 在 什 么 人 也 没 有 指 挥。 
qstr_He_currently_command|他 现 在 指 挥 了 {reg0}人。 {reg1?其 中 {reg1}人 负 伤。:} 
qstr_The_elder_of_the_vil|{s3}村 的 村 长 要 你 搞 到 {reg5}袋 小 麦 给 他。 
qstr_The_elder_of_the_vill|{s13}村 的 村 长 要 你 训 练 {reg5}个 农 民 以 抵 抗 当 地 的 强 盗。 
qstr_The_elder_of_the_villa|{s3}村 的 村 长 要 你 搞 到 {reg5}头 牛 给 他。 
qstr_{s16}_and_{s15}|{s16}和 {s15}
qstr_I_can_smell_a_fat_pu|我 在 一 英 里 外 就 嗅 到 了 一 个 鼓 鼓 的 钱 包。 我 想 你 想 让 它 变 轻 些， 不 是 吗？ 
qstr_Why_it_be_another_tr|啊！ 这 又 是 一 个 旅 行 者， 让 我 给 撞 上 了。 我 应 该 警 告 你， 这 里 的 郊 外 对 于 像 你 这 样 的 一 个 好 {人/人} 是 有 点 危 险 的。 但 是 你 要 是 给 我 们 一 点 钱， 我 和 我 的 兄 弟 们 就 可 以 保 证 你 安 全 到 达 你 的 目 的 地， 怎 么 样？ 
qstr_Well_well_look_at_th|来 来 来， 看 看 这 个！ 你 最 好 乖 乖 交 出 一 些 银 币， 不 然 我 和 我 的 同 伴 就 将 好 好 招 待 你。 
qstr_There_s_a_toll_for_p|交 出 买 路 钱， 不 然 我 就 从 你 的 钱 包 里 收 取 我 应 得 的 那 份…… 
qstr_Another_fool_come_to|又 一 个 傻 瓜 过 来 把 {他 的/她 的} 身 体 往 我 剑 上 撞， 是 吗？ 那 好， 放 马 过 来！ 
qstr_We_re_not_afraid_of_|我 们 不 怕 你， {小 子/小 妞}。 是 时 候 打 暴 某 些 人 的 头 了！ 
qstr_That_was_a_mistake._|那 是 一 个 错 误。 现 在 我 将 慢 慢 把 你 折 磨 到 死。 
qstr_Brave_words._Let_s_s|豪 言 壮 语， 让 我 看 看 你 怎 么 用 行 动 来 支 持 它， 坏 蛋！ 
qstr_A_{s5}?_Well..._Yes_|{s5}？ 呃…… 是 的， 我 想 是 这 样。 问 了 一 个 多 么 奇 怪 的 问 题 啊。 
qstr_Eh?_No_it_most_certa|是 吗？ 基 本 可 以 肯 定 那 不 是 一 个 {s5}。 如 果 我 是 你 的 话， 我 就 开 始 怀 疑 自 己 的 视 力 是 否 有 问 题。 
qstr_This_is_the_{reg4?to|这 里 是 {s5}{reg4?镇:村}， {先 生/夫 人}。 
qstr_{s6}_Our_{reg4?town:|{s6}我 们 {reg4?镇 :村 }及 周 围 的 土 地 属 于 你， 我 的 {大 人/夫 人}。 
qstr_{s6}_Our_{reg4?town:v|{s6}我 们 {reg4?镇 :村 }及 周 围 的 土 地 属 于 {s8}的 {s7}。 
qstr_{s3}_and_{s5}|{s3}和 {s5}
qstr_{reg20?We_mostly_pro|{reg20?我 们 这 里 主 要 是 出 产 {s5}:这 些 天 我 们 这 里 几 乎 什 么 都 没 有 出 产}。 如 果 你 想 了 解 更 多 的 情 况， 你 可 以 去 问 我 们 的 {reg4?镇 长:村 长}。 他 就 在 附 近， 看， 就 在 那 边。 
qstr_You_spend_lot_time_i|你 在 沙 漠 里 待 得 太 久 了 !
qstr_{s21}_hits_with_{s22|{s21}用 {s22}对 {s20}造 成 {reg20}伤 害 ，武 器 被 折 断 。
qstr_Delivered_{reg1}_ext|从 背 后 施 加 {reg1} 额 外 伤 害 
qstr_Received_{reg1}_extr|背 后 受 到 {reg1} 额 外 伤 害 ！
qstr_Delivered_{reg1}_extr|对 马 匹 施 加 {reg1} 额 外 伤 害 
qstr_Delivered_{reg1}_extra|施 加 {reg1} 额 外 伤 害 
qstr_Horse_received_{reg1|马 匹 受 到 {reg1} 额 外 伤 害 
qstr_Releasing_spear.|架 矛 
qstr_Your_horse_received_|你 的 马 匹 受 到 {reg1} 长 矛 伤 害 
qstr_The_injury_causes_yo|长 矛 滑 落 ！
qstr_Spear_wall_dealt_{re|长 矛 造 成 {reg1} 伤 害 !
qstr_Bracing_spear_for_ch|架 矛 
qstr_You_whistle_for_your|吹 口 哨 呼 唤 你 的 马 匹 
qstr_prepare_to_volley|5 秒 一 次 齐 射 ！
qstr_end_volley|齐 射 关 闭 
qstr_Your_current_action_|你 现 在 的 行 为 是 可 耻 的 ！
qstr_Notice!_The_Bank_ask|注 意！ 银 行 开 始 催 款 了。 过 期 不 还 的 话， 银 行 会 采 取 一 切 措 施 。
qstr_Notice!_The_Bank_has|注 意！ 银 行 已 经 收 缴 了 你 的 存 款。 不 久 之 后 有 更 严 厉 的 措 施 。
qstr_Name:{s1}^Cash:_{reg|名 字 :{s1}^现 金 : {reg1}^存 款 : {reg2}^债 务: {reg3}^信 用 额 度 :{reg4}
qstr_Create_your_own_kind|创 造 自 己 国 家 的 兵 种 。
qstr_Use_the_Existed_kind|套 用 现 存 的 国 家 兵 种 。
qstr_You_can_t_equip_this|你 不 能 装 备 这 个 物 品 ，放 错 位 置 或 者 太 重 了 ！
qstr_Show_towns|        显 示 城 镇 
qstr_Show_castles|        显 示 城 堡 
qstr_Show_villages|        显 示 村 庄 
qstr_Tip:_move_the_mouse_|鼠 标 移 到 小 黑 块 处 显 示 名 字 。
qstr_The_World_Map|世 界 地 图 
qstr_wound:_you_are_safe_|你 很 幸 运 ，只 是 受 了 点 轻 伤 。
qstr_wounds:_you_are_woun|你 的 手 臂 受 伤 了 ！
qstr_wounds:_you_are_wound|你 的 腿 受 伤 了 ！
qstr_wounds:_you_are_wounde|很 不 幸 ，你 的 头 受 伤 了 ...
qstr_Votre_Bl??ssure_au_b|你 的 手 臂 已 经 治 好 了 !
qstr_Votre_Bl??ssure_a_la|你 的 腿 已 经 治 好 了 !
qstr_Votre_Bl??ssure_a_la_|你 的 头 部 已 经 治 好 了 !
qstr_you_are_satisfied_!|现 在 你 吃 饱 喝 足 了 。
qstr_Vous_etes_rassasi??_|你 的 饮 食 状 况 很 好 
qstr_Vous_etes_affam??_et|你 太 饿 了 ，身 体 虚 弱 ，力 量 - 9 ，敏 捷 - 6
qstr_Rapport_de_sant??:^{|健 康 报 告 :^{s3}
qstr_intacts|健 康 
qstr_Vous_etes_bless??_a_|受 伤 ，敏 捷 -15，力 量 -10，铁 骨 -2，骑 术 -2，跑 动 -5
qstr_Jambes:_{s9}|腿 部 : {s9}
qstr_Vous_etes_bless??_au|受 伤 ，敏 捷 -10，力 量 -15，强 击 -6，强 掷 -5，强 弓 -5
qstr_Bras:_{s7}|胳 臂 : {s7}
qstr_intacte|健 康 
qstr_Vous_etes_gri??vemen|受 伤 ，智 力 -10，敏 捷 -10，战 术 -5，交 易 -4，铁 骨 -2
qstr_T?ate:_{s5}|头 部 : {s5}
qstr_Kingdom_Fails_to_Res| {s1} 没 有 回 应 {s2} 的 挑 衅 。
qstr_CURRENT_COMMANDER_S_|当 前 指 挥 官 报 告 
qstr_Your_Commander:_{s19|指 挥 官 : {s19}
qstr_Commander_Relation:_|与 指 挥 官 关 系 : {reg0}
qstr_Enlisted_Faction:_{s|所 属 阵 营 : {s20}
qstr_Current_Rank:_{s21}|当 前 级 别 : {s21}
qstr_N/A|无 效 
qstr_Experience_to_next_p|下 次 晋 升 所 需 经 验 : {s1}
qstr_Days_in_service:_{re|已 服 役 天 数 : {reg20}
qstr_Current_Wage:_{reg23|当 前 工 资 : {reg23} denars.
qstr_Next_Pay/Promotion_d|下 次 发 工 资 及 晋 升  时 间 : 周 
qstr_Army_size:_{reg26}|队 伍 规 模 : {reg26}
qstr_Commander_s_Army|指 挥 官 的 军 队 ：
qstr_Done|完 成 
qstr_Plan_Deployment|部 署 计 划 
qstr_You_will_have_{reg1}|在 接 下 来 的 战 斗 中， 你 将 有 {reg1} 名 士 兵 参 加 战 斗
qstr_Troop|兵 种 
qstr_#_at_start__/_#_in_p|# 上 场 数 量  / # 在 队 伍 中
qstr_/_{reg0}|/ {reg0}
qstr_{reg0}|{reg0}
qstr_of_{reg0}_troops|{reg0} 名 士 兵 
qstr_Ready_Troops|保 存 
qstr_Reassess|返 回 
qstr_Scrap_All|撤 销 指 令 
qstr_Too_many_troops^Chec|太 多 人 了^检 查 人 数 是 否 适 当 。
qstr_Initial|开 场 行 动 指 令 
qstr_Movement_1|行 动 指 令 1
qstr_Movement_2|行 动 指 令 2
qstr_Formation|阵 型 
qstr_Attack|武 器 使 用 指 令 
qstr_Weapon_Type|武 器 类 型 
qstr_Shield|盾 牌 
qstr_Skirmish|远 程 指 令 
qstr_Hold_Position|坚 守 这 里
qstr_Back_10|后 退 10 米
qstr_Forward_10|前 进 10 米
qstr_Repeat_x|重 复 x
qstr_Square|方 阵 
qstr_Wedge|楔 形 阵 
qstr_Shieldwall|盾 墙 
qstr_Ranks|列 阵 
qstr_Ranged|远 程 武 器 
qstr_Polearms|长 杆 武 器 
qstr_Two_Handed|双 手 武 器 
qstr_One_Handed|单 手 武 器 
qstr_No_Shields|不 使 用 盾 牌 
qstr_Use_Shields|使 用 盾 牌 
qstr_Avoid_Melee|避 免 近 战 
qstr_Turn_to_weapon_order|转 到 武 器 命 令... 
qstr_Prepare_Orders|准 备 指 令 （预 览）
qstr_Dispatch_Orders|下 达 命 令 （保 存）
qstr_...Turn_to_positioni|...转 到 行 动 命 令 
qstr_Record_Battle_Size_a|在 此 输 入 战 场 人 数 大 小 
qstr_Record_Battle_Size_as|在 此 输 入 战 场 人 数 大 小: 
qstr_The__Weapon_Use_Fixe|武 器 使 用 修 正  .
qstr_Use_NPC_Lancer_Fix:|（功 能 冲 突，强 制 关 闭）骑 枪 使 用 修 正 : 
qstr_Use_NPC_Horse_Archer|（功 能 冲 突，强 制 关 闭）骑 射 单 位 修 正 :
qstr_Use_NPC_Spear/Polear|（功 能 冲 突，强 制 关 闭）长 杆 使 用 修 正 : 
qstr_Use_Pike/Horse_Damag|使 用 枪 矛/马 匹 伤 害 修 改 ： 
qstr_Reassign_De_horsed_C|骑 兵 失 去 马 匹 后 归 属 于 : 
qstr_Reassign_No_Ammo_Arc|射 手 弹 药 用 完 后 归 属 于 : 
qstr_Enable_Battle_Contin|启 用 击 倒 后 战 场 延 续 : 
qstr_Batt._Cont._Charge_a|被 击 倒 后 全 军 冲 锋 : 
qstr_Formations_Battle_AI|阵 型 战 斗 AI:
qstr_Enable_AI_to_use_Spe|AI 启 用 特 殊 战 斗 指 令 （如 架 矛）:
qstr_Enable_Bodyguards_in|在 村 庄 / 城 镇 中 使 用 NPC 跟 随 : 
qstr_Enable_ranged_penalt|使 用 远 程 武 器 天 气 惩 罚: 
qstr_Disable_Companions__|关 闭 NPC 争 吵 :
qstr_Enable_the_cheat_men|作 弊 模 式 :
qstr_Charge_All|全 军 冲 锋 
qstr_Formations_AI|使 用 阵 型 AI
qstr_Native_AI_w/Formatio|Native AI, w/Formations
qstr_PBOD_Mod^Options|PBOD Mod^Options
qstr_Mouse_over_options_f|鼠 标 指 向 选 项 获 得 更 多 信 息 
qstr_Restore_Defaults|默 认 数 值  
qstr_Key_Settings|按 键 设 置 
qstr_Weapon_Use_Fix_for_L|（功 能 冲 突，强 制 关 闭）骑 枪 使 用 修 正 将 强 制 所 有 装  备 有 骑 枪 的 骑 兵 单 位 使 用 骑 枪
qstr_Weapon_Use_Fix_for_H|（功 能 冲 突，强 制 关 闭）骑 射 单 位 修 正 将 强 制 骑 射 单 位 在 马 上/弹 药 用 完 前 强 制 使 用 远 程 武 器
qstr_Weapon_Use_Fix_for_S|（功 能 冲 突，强 制 关 闭）长 杆 使 用 修 正 将 强 制 步 兵 尽 量 使 用 长 杆 武 器 。
qstr_Damage_tweaks_will_g|枪 矛 对 马 匹 更 高 伤 害，马 匹 冲 撞 更 高
qstr_Mounted_bots_once_th|Mounted bots, once their horse dies, can be re-assinged to a division of your choosing. If active, AI bots will be reassigned to infantry.
qstr_Foot_archer_bots_onc|Foot archer bots, once out of ammo, can be re-assinged to a division of your choosing. If active, AI bots will be reassigned to infantry.
qstr_Battle_Continuation_|战 场 延 续 允 许 你 的 士 兵 在 你 被 击 倒 后 继 续 战 斗 。
qstr_If_Battle_Continuati|If Battle Continuation is active, you can select what your troops will do after you get knocked out: Disabled has them continue their previous orders; Charge all will give everyone a charge order; Formations AI (if active for the AI) will allow the new AI to take over for you.
qstr_Select_your_prefered|Select your prefered Battle AI: Disabled is Native AI; Formations AI both allows the AI to use formations and changes their battle decision-making; Native AI w/Formations is Native AI but carries out the Native AI with basic formations.
qstr_Enabling_AI_Special_|允 许 AI 士 兵 会 自 动 使 用 特 殊 指 令 ，如 齐 射 ， 回 避 近 战 ，架 矛.
qstr_Bodyguards_allows_yo|Bodyguards allows your companions to serve as your character's bodyguards in town and village scenes. The number of bodyguards depends on your character's leadership and renown.
qstr_The_Weather_Proficie|在 恶 劣 天 气 下 （下 雨/ 下 雪），所 有 弓 弩 手 的 远 程 熟 练 度 下 降 。（弓，弩，投 掷，火 器 ）
qstr_Disabling_NPC_Compla|Disabling NPC Complaints will mute your companion's complaints about eachother or your decisions. It will not remove the consequences of their opinions, however.
qstr_The_cheat/debug_mode|The cheat/debug mode activates debug messages as well as the 'cheatmenu' in your Camp Menu and additional options under Reports.
qstr_Keys_Configuration|按 键 设 置 
qstr_Press_Esc_to^^Disabl|Press Esc to^^Disable a key
qstr_DeathCam_Mouse_Sensi|DeathCam Mouse Sensitivity
qstr_OK|OK
qstr_Reset|重 设 
qstr_Default|默 认 
qstr_Mod_Options|Mod 选 项 
qstr_Press_a_key|按 键 
qstr_{s11}___Formation_ty|{s11} - 阵 型 命 令 
qstr_{s12}___Weapon_order|{s12} - 武 器 命 令 
qstr_{s13}___Shield_order|{s13} - 盾 牌 命 令 
qstr_{s14}___Attack_order|{s14} - 进 攻 命 令 
qstr_{s11}___Ranks|{s11} - 列 阵 
qstr_{s12}___Shieldwall|{s12} - 盾 墙 
qstr_{s13}___Wedge|{s13} - 楔 形 阵 
qstr_{s14}___Square|{s14} - 方 阵 
qstr_{s15}___No_Formation|{s15} - 解 散 阵 型 
qstr_{s16}___Escape_Menu|{s16} - 退 出 菜 单  
qstr_{s11}___One_Handers|{s11} - 单 手 武 器 
qstr_{s12}___Two_Handers|{s12} - 双 手 武 器 
qstr_{s13}___Polearms|{s13} - 长 杆 武 器 
qstr_{s14}___Ranged|{s14} - 远 程 武 器 
qstr_{s11}___Use_Shields|{s11} - 使 用 盾 牌 
qstr_{s12}___No_Shields|{s12} - 禁 用 盾 牌 
qstr_{s13}___Free|{s13} - 自 由 使 用 盾 牌 
qstr_{s11}___End_Order|{s11} - 自 由 行 动 
qstr_{s12}___Skirmish|{s12} - 回 避 近 战 
qstr_{s13}___Volley_Fire|{s13} - 射 手 齐 射 
qstr_{s14}___Brace_Polear|{s14} - 架 起 长 矛 
qstr_DeathCam|死 亡 镜 头 
qstr_Camera|摄 像 头 
qstr_Follow|跟 随 
qstr_Free|自 由 行 动 中 
qstr_Troop_Assignments|部 队 分 配 
qstr_Split_Troops_into_Se|分 配 兵 种 到 次 要 分 区 
qstr_Troops_by^_Primary_D|主 要 部 队 ^ 的 兵 种 
qstr_#_in^Main_Division|# 主 要 ^分 区 
qstr_Show/^Hide|显 示 /^隐 藏 
qstr_#_in^Secondary_Divis|# 次 要 ^分 区 
qstr_Secondary^Division|次 要 分 区 
qstr_Disabled|关 闭 
qstr_Split_Active|分 配 执 行 
qstr_Clear_All|清 除 
qstr_Discard_Changes|舍 弃 修 改 
qstr_Save|保 存 
qstr_You_have_been_enlist|你 入 伍 了 !
qstr_Current_rank:_{s5}|当 前 职 位 : {s5}
qstr_You_have_left_your_c|你 离 开 了 你 的 指 挥 官 !
qstr_You_have_been_grante|你 被 允 许 离 开 !
qstr_You_have_rejoined_yo|你 归 队 了 !
qstr_{s3}_{s2}|{s3}, {s2}
qstr_The_equipment_of_a_{|一 个 {s1} 的 装 备 : {s2} 分 配 给 了 你 。
qstr_The_equipment_of_a_{s|一 个 {s1} 的 装 备 : {s2}被 拿 走 了 。
qstr_Hold|坚 守 此 地 
qstr_{s1}_x{reg0}|{s1} x{reg0}
qstr_Hold_Fire|停 止 射 击
qstr_Fire_at_Will|随 意 射 击
qstr_Use_Shield|装 备 盾 牌 
qstr_Back_10_Paces|后 退 10 步
qstr_One_Handed_Weapons|单 手 武 器
qstr_Two_Handed_Weapons|双 手 武 器 
qstr_Ranged_Weapons|远 程 武 器 
qstr_{s2}^{s1}|{s2}^{s1}
qstr_No_Position_Orders|无 行 动 命 令 
qstr_No_Weapons_Orders|无 武 器 命 令 
qstr_ready_bows_and_missi|准 备 远 程 武 器 ！
qstr_ready_side_arms|使 用 单 手 武 器 ！
qstr_ready_two_handers|使 用 双 手 武 器 ！
qstr_ready_polearms|使 用 长 杆 武 器 ！
qstr_brandish_shields|拿 起 盾 牌 ！ 
qstr_doff_your_shields|放 下 盾 牌 ！
qstr_shields_at_will|随 意 使 用 盾 牌 
qstr_avoid_melee|回 避 近 战 
qstr_stand_and_fight|停 止 游 击 ，开 始 战 斗 
qstr_prepare_to_volley|准 备 齐 射 
qstr_end_volley|停 止 齐 射 
qstr_brace_for_charge|架 矛， 抵 御 冲 锋。
qstr_remove_brace_and_fig|停 止 架 矛 投 入 战 斗 
qstr_Everyone|所 有 人 
qstr_No_Troops_Left.|没 有 单 位. 
qstr_Undefined!|Undefined!
qstr_DEBUG_:_Weather_pena|DEBUG : Weather penalty {reg2}% - {s0}: {reg0} to {reg1}
qstr_DEBUG_:_{s0}_profici|DEBUG : {s0} proficiency restored to: {reg1}
qstr_ranks|列 阵 
qstr_shield_wall|盾 墙 
qstr_wedge|楔 形 阵
qstr_square|方 阵 
qstr_up|冲 锋 
qstr_Not_enough_troops_in|{s2}没 有 足 够 的 士 兵 来 排 列 成 {s1}， 将 原 地 待 命。
qstr_{!}{s2}_forming_{s1}|{s2}排 列 成 {s1}。
qstr_{!}{s2}_is_an_{s3}_d|{s2}是 {s3}， 所 以 无 法 排 列 成 {s1}， 将 原 地 待 命。
qstr_infantry|步 兵 
qstr_archer|射 手 
qstr_cavalry|骑 射 手 
qstr_polearm|枪 矛 手 
qstr_skirmisher|散 兵 
qstr_mounted_archer|骑 射 手 
qstr_support|后 勤 人 员 
qstr_bodyguard|卫 队 
qstr_undetermined_type_of|未 决 定 类 型 
qstr_{s1}:_infantry_forma|{s1}: 步 兵 阵 型 解 散 
qstr_{s1}:_archer_formati|{s1}: 射 手 阵 型 解 散 
qstr_{s1}:_skirmisher_for|{s1}: 散 兵 阵 型 解 散 
qstr_{s1}:_cavalry_format|{s1}: 骑 兵 阵 型 解 散 
qstr_{s1}:_formation_disa|{s1}: 阵 型 解 散 
qstr_Cavalry_formation_di|骑 兵 阵 型 解 散 
qstr_{s4}^^The_troops_you|{s4}^^你 选 择 的 队 伍 准 备 加 入 战 队 
qstr_{s4}^^Your_captains_|{s4}^^你 的 队 长 们 将 会 处 理 分 配 
qstr_{s4}^^Your_orders_ha|{s4}^^你 的 命 令 下 达 给 了 队 长 们 
qstr_{s4}^^There_is_no_ta|{s4}^^没 有 设 置 好 的 战 术 计 划 
qstr_You_have_deserted_an|你 叛 逃 了 ，现 在 被 通 缉 了 !

qstr_{reg0}.{reg1}|{reg0}.{reg1}
qstr_PBOD_Updated_to_vers|PBOD Updated to version 0.{s1}
qstr_You_are_not_strong_e|你 还 不 够 强 壮 以 使 用 晋 升 后 需 使 用 的  武 器 ！
qstr_You_are_not_strong_en|你 还 不 够 强 壮 以 承 受 晋 升 后 需 使 用 装 备 的 重 量 。
qstr_Your_arms_are_to_wea|你 的 手 臂 太 弱 了 ，不 能 使 用 这 些 武 器 。
qstr_You_require_more_hor|你 需 要 更 多 骑 术 来 适 应 下 一 等 级 。
qstr_The_released_prisone|释 放 的 俘 虏 不 能 信 任 ，他 们 现 在 准 备 攻 击 你 了 ！
qstr_Warning!|警 告 !
qstr_The_released_prisoner|释 放 的 俘 虏 在 战 斗 结 束 后 马 上 就 逃 走 了 ，你 不 会 再 见 到 他 们 了 。
qstr_Notice!|注 意 !
qstr_The_released_prisoners|释 放 的 俘 虏 表 现 了 对 你 的 忠 诚 ，他 们 将 加 入 你 的 部 队 。
qstr_You_have_{reg0}_days_|作 为 逃 兵 ，你 还 有 {reg0} 天 才 会 被 承 认 !
qstr_You_have_now_been_de|你 现 在 是 一 个 公 认 的 逃 兵 ！
qstr_BANK_OF_^WORLD|弗 伦 西 亚 ^银 行 
qstr_Your_can_t_loan_any_|你 还 款 之 前 不 能 贷 款 了 。
qstr_Secret_Troops:_{reg1|选 择 部 队 : {reg1}
qstr_You_have_been_knocke|你 被 击 倒 了 ，你 可 以 继 续 观 看 队 友 战 斗 ，或 者 按 TAB退 出 。
qstr_Everyone_you_know_wh|大 家 都 知 道 自 己 的 任 务 ，到 自 己 的 岗 位 去 ！
qstr_{reg2?You:Your_mount|{reg2?你 :你 的 坐 骑 } 受 到 {reg1} 额 外 伤 害 
qstr_{reg2?You_strike:You|{reg2?你 的 攻 击 :你 坐 骑 的 冲 锋 } 造 成 {reg1} 额 外 伤 害 ！
qstr_Braced_{s1}_dealt_{r|架 矛 {s1} 施 加 {reg1} 伤 害 ！
qstr_Bracing_{s1}_for_cha|架 起 {s1} 阻 挡 冲 锋 ！
qstr_Releasing_from_brace|Releasing from brace.
qstr_...and_attack_enemy_|...攻 击 敌 人 的 {s1} !
qstr_{s2}:_returning_afte|{s2}: 摧 毁 敌 人 {s1} 后 归 队 
qstr_Gift_{reg1}_{s1}_as_|给 出 {reg1} {s1} 作 为 奴 隶 。
qstr_They_joined_your_par|他 们 加 入 了 你 的 队 伍 
qstr_There_is_no_capacity|没 有 他 们 加 入 的 位 置 了 。

qstr_{s5}_patrol|{s5} 治 安 队 
qstr_You_have_changed_you|你 已 经 换 上 了 物 品 箱 中 的 便 装 。
qstr_You_have_no_casual_c|你 没 有 合 适 的 服 装 ，守 卫 借 给 了 你 一 件 普 通 便 装 。
qstr_Select_the_Tactics:^|选 择 战 术 ：^^^选 择 “是 ”就 会 直 接 驶 向 敌 舰 开 始 接 舷 战 。^^选 择 “否 ”就 会 尝 试 环 绕 敌 舰 航 行 ，以 获 得 更 多 的 射 击 时 间 ，进 行 侧 翼 包 抄 。
qstr_Fight_Hand_to_hand!|接 舷 战 开 始 ！
qstr_Outflanking_Tactics_|侧 翼 包 抄 成 功 ！
qstr_Outflanking_Tactics_F|侧 翼 包 抄 失 败 ！
qstr_{s1}_withdrawal_from|{s1} 掉 入 水 中 ，退 出 战 斗 
qstr_Cannot_leave_now.|现 在 不 能 撤 退 
qstr_successd|成 功 
qstr_You_spend_lot_time_in|你 在 海 上 呆 的 太 久 了 ！
qstr_yanhuiinfo|宴 会 信 息 
qstr_{s2}^Base_Attribute:|{s2}^基 础 属 性 :魅 力 
qstr_{s2}^Base_Attribute:I|{s2}^基 础 属 性 :智 力 
qstr_{s2}^Base_Attribute:A|{s2}^基 础 属 性 :敏 捷 
qstr_{s2}^Base_Attribute:S|{s2}^基 础 属 性 :力 量 
qstr_Next|下 一 页 
qstr_Back|返 回 
qstr_What_will_your_party|你 想 怎 样 命 名 你 的 队 伍 ？
qstr_By_the_name_entered_|使 用 以 上 输 入 的 
qstr_Simply_by_my_name:_{|就 用 我 的 角 色 名 : {s5}
qstr_How_will_your_male_v|你 想 给 男 性 领 主 用 什 么 称 号 ？
qstr_How_will_your_female|你 想 给 女 性 领 主 用 什 么 称 号 ？
qstr_Use_the_Titles_Enter|使 用 以 上 输 入 的 
qstr_Use_Default_Titles__|使 用 默 认 的 
qstr_Your_recruiter_who_w|你 的 招 募 官 受 命 去 {reg10} 招 募 {s13}已 经 失 败 ！
qstr_Troops_Listing|队 伍 列 表 
qstr_You_lose_a_{s2}|你 失 去 /输 掉  {s2}
qstr_Cracked|裂 开 的 
qstr_Rusty|生 锈 的 
qstr_Bent|弯 曲 的 
qstr_Chipped|有 缺 口 的 
qstr_Battered|有 凹 陷 的 
qstr_Poor2|粗 劣 的 
qstr_Crude|粗 糙 的 
qstr_Old|旧 
qstr_Cheap|便 宜 的 
qstr_Fine|优 质 的 
qstr_Well_made|精 良 的 
qstr_Sharp|锋 利 的 
qstr_Balanced|平 衡 的 
qstr_Tempered|回 火 的 
qstr_Deadly|致 命 的 
qstr_Exquisite|精 致 的 
qstr_Masterwork|极 品 
qstr_Heavy|重 
qstr_Strong|坚 硬 的 
qstr_Powerful|强 有 力 的 
qstr_Tattered|破 烂 的 
qstr_Ragged|破 旧 的 
qstr_Rough|粗 糙 的 
qstr_Sturdy|结 实 的 
qstr_Thick|厚 
qstr_Hardened|加 硬 
qstr_Reinforced|加 强 
qstr_Superb|华 丽 的 
qstr_Lordly|豪 华 的 
qstr_Lame|瘸 腿 
qstr_Swaybacked|老 
qstr_Stubborn|倔 犟 的 
qstr_Timid|胆 小 的 
qstr_Meek|温 顺 的 
qstr_Spirited|活 泼 的 
qstr_Champion|一 流 的 
qstr_Fresh|新 鲜 的 
qstr_Day_old|隔 夜 的 
qstr_Two_day_old|隔 两 夜 的 
qstr_Smelling|发 臭 的 
qstr_Rotten|腐 烂 的 
qstr_Large_bag|一 大 袋
qstr_Bonus!_You_get_a_spe|恭 喜 ！你 获 得 了 一 件 高 级 物 品 : {s1}.
qstr_Goodyour_arms_get_we|你 的 手 已 经 恢 复 健 康 
qstr_Goodyour_legs_get_we|你 的 腿 已 经 恢 复 健 康 
qstr_Goodyour_head_get_we|你 的 头 已 经 恢 复 健 康 
qstr_Releasing_from_brace|解 除 架 矛 
qstr_You_have_reached_the|你 的 前 哨 数 量 已 经 满 了 
qstr_You_have_reached_the|你 的 前 哨 数 量 已 经 满 了 
qstr_Outpost_built!|驻 扎 地 建 立 了 
qstr_You_don_t_have_enoug|你 没 有 足 够 的 钱
qstr_Outpost_upgraded.|驻 扎 地 升 级 了 
qstr_You_don_t_have_enough|你 没 有 足 够 的 钱
qstr_Patrol_enlisted!|巡 逻 队 已 经 组 建 
qstr_Outpost_Patrol|{s1}的 巡 逻 队
qstr_You_don_t_have_enough_|你 没 有 足 够 的 钱
qstr_Basic|基 础 的 
qstr_Regular|正 规 的 
qstr_Advanced|加 强 的 
qstr_Expert|专 业 的 
qstr_Patrol_trained!|巡 逻 队 训 练 
qstr_You_don_t_have_enough_m|你 没 有 足 够 的 钱
qstr_Outpost_demolished.|前 哨 移 除 
qstr_You_don_t_have_enough_mo|你 没 有 足 够 的 钱
qstr__Your_own_banner_flies|你 的 旗 帜 飘 扬 在 城 楼 上 
qstr__You_see_the_banner_of|你 看 见 {s7} 的 旗 帜 飘 扬 在 城 楼 上 
qstr__The_townsfolk_here_| 这 里 的 镇 民 宣 告 独 立 
qstr_You_have_broken_off_|你 中 断 了 对 {s1}的 包 围 
qstr_You_cannot_maintain_|超 过 这 个 范 围 你 将 不 能 保  持 对 {s1}的 包 围 ，包 围 将 会 中 断 
